출처,작성자,날짜,내용,공감,답글수,원댓글ID
뉴스,@Ricololi,2023-07-22 11:17:56,조만간 중국이 저건 우리것이다 개지랄 하긋네 ㅋㅋ,1,,UgwDTfeKR9RsS5_DDEd4AaABAg
뉴스,@user-ls2qf9zt8l,2023-07-22 11:17:58,광고로 끝나지않고 풀 스토리로 영화제작했으면 좋겠어요,40,,UgwDk82fCFe-uOxaQsd4AaABAg
뉴스,@ashrix3366,2023-07-22 11:17:50,심청전... 중국꺼로 알고있는데 내가 잘못안건가?,0,,UgwE3vSaAoJKnG1VVmR4AaABAg
뉴스,@ladyhawk8851,2023-07-22 11:17:59,저거 잘되면 심청전은 원래 자기들 설화나 고전이라고 우기는 놈들 또 나올 것 같네요.,0,,UgwEVH9sx3MfpBxbXlV4AaABAg
뉴스,@Raa-ku5be,2023-07-22 11:18:06,중국: 심청전은 중국의 소수민족 조선족의 이야기이기 때문에 이 애니메이션은 중국ㅇ ~~~어쩌구 저쩌구,0,,UgwEora45F4foVd3BCd4AaABAg
뉴스,@jjaenylee3231,2023-07-22 11:17:46,정말 잘 만들었네요 ㅎ,0,,UgwF6BKsN0o_QJu6yzl4AaABAg
뉴스,@user-oq7kq8th1u,,하버드학생이 디즈니에 한국 공주가 없다며 심청버전의 노래를 만들어 올렸고 그걸 LG가 눈여겨 보고 Cobb 스튜디오에 해당 노래를 사용해 디즈니 스타일의 영상 광고를 만들어 달라고해서 탄생한 영상입니다. 영상은 스튜디오에서 만들고 하버드생은 노래를 부른겁니다!! 헷갈리시는 분이 계실거 같아서 댓글 답니다. (사실 내가 헷갈려서 찾아봄 ㅋ),5,1,UgwFrRx5r6be6FWXehN4AaABAg
뉴스,@Space-gw3yj,2023-07-22 11:17:50,고마워요! 👍,0,,UgwFrRx5r6be6FWXehN4AaABAg.9gsChihrOPb9h1fQ-UfaCJ
뉴스,@user-hf1qb3fs6h,2023-07-22 11:18:05,"민주당과 좌파언론 매체와 좌파언론 방송사들,
너희들은 분명히 거지 발가락 사이 때만큼도 못하고 북한보다 더 악랄하고 극악 무도한 집단이며
우리 사회의 악의 축이고 암적인 존재들이다.
국민의 땀과 피같은 세금으로 배가 부르고 배가 따뜻한 좌파언론 매체와 방송사들,
윤석열대통령 스토킹만을 자행하고 있는 너희들은 오직 윤석열대통령과 현 정부를 흠집내고 꼬투리만 잡아 언론조작보도로 국민의 여론을 분열시켜 윤석열정부를
끌어 내리는데만 혈안이 돼 있는데 윤석열대통령을
잘못봐도 한참 잘못 본거고
어림도 없고 게임도 안된다.
잠자고 있는 호랑이,
조선제일의 검,
윤석열대통령 코털을 건들지 마라.
아직도 선거패배에 인정도 안하고 있는데 부러우면 지는거야. 바르고 정상적으로
세상을 살아 가기 바란다.",0,,UgwG5iiNas1xYTjsklN4AaABAg
뉴스,@user-br3kg4xl8h,2023-07-22 11:17:48,환타스틱!!!!!!!!!!!!!!!!!!!!!!!!!!,1,,UgwGctAPfhmMZBiD1D94AaABAg
뉴스,@user-ud2hs1uj2d,2023-07-22 11:18:04,현실은.....음....,0,,UgwGx_EWsvqAlvxRAYB4AaABAg
뉴스,@user-kn6lw7ud6c,2023-07-22 11:18:06,전혀 한국적이지 않은 얼굴로 해야 먹히는 현실. 인종차별을 스스로 하네.,1,,UgwH2qUKi-kF_m-U9oF4AaABAg
뉴스,@user-wz3bv8dh3k,2023-07-22 11:18:04,너무 예쁜데?,0,,UgwHVv_1mWjaxiynKA54AaABAg
뉴스,@shs892,2023-07-22 11:18:04,빤스광고,0,,UgwHj8PLXc789bx6vRx4AaABAg
뉴스,@user-kk9dz8xs1x,2023-07-22 11:18:07,용왕님: 당신에게 걸어지는 진주목걸이,1,,UgwHjCNMBLZxJDF4DJR4AaABAg
뉴스,@user-ms3ef1cj6f,,심청전을 글로벌화 하기엔 스토리가 창피함 시대착오적,1,,UgwI4eElNXXkzY1wUGl4AaABAg
뉴스,@tjfqlsths,2023-07-22 11:17:59,"인신제사를 드리던 안타까운 역사가 서린 작품입니다. 비슷한 이야기로 지네괴물 혹은 이무기에게 어린 여자아이를 바쳤다는 기록도 있죠.
세월호와 같은 일이 다시는 반복되지 않기를 바랍니다. 🙏",2,,UgwI8e5c9Nk2Pucbj3t4AaABAg
뉴스,@nudepencil,2023-07-22 11:17:59,대단한 것과는 별개로 영어랑 캐릭터가 어울리는 지는 모르겠다.,0,,UgwIaVvjhQiJD5R8xGx4AaABAg
뉴스,@user-jb7ed8gn8l,2023-07-22 11:18:09,ㅈ😊ㄷㄴㄴㅇ닏,0,,UgwIbmuQQ9qUiGNKD1N4AaABAg
뉴스,@user-tk5ph7xc4p,2023-07-22 11:17:52,이야 개쩐다 개잘만들었네,0,,UgwJ0wReoWYXamktnGV4AaABAg
뉴스,@user-ri7jt3rj7f,2023-07-22 11:17:57,디즈니랑 같이 만들면 좋겠다,0,,UgwJJ-n8L7OggECwxJZ4AaABAg
뉴스,@normalpasta5439,2023-07-22 11:17:53,국뽕은 국내에서만 하자,0,,UgwJK9JtTVMJm12GKLh4AaABAg
뉴스,@user-ys5xv9nr8c,2023-07-22 11:17:53,"이게 심청전 입니까 ?
얼을 왕국 인줄...
맨 영어로 떠들어 대는데..무슨 심청전입니까 ?",0,,UgwJMyZIBOVHVuKTr8R4AaABAg
뉴스,@user-vj4ue4wn8f,2023-07-22 11:18:05,적어도 저 영상 링크는 걸어놔야지;,0,,UgwJnQUny2vBiUuibul4AaABAg
뉴스,@123asg,2023-07-22 11:17:56,???:심청전은 사실 중국 이야기입니다.,1,,UgwK-VuTid09v8XuWJB4AaABAg
뉴스,@jongwoo313,2023-07-22 11:18:04,심청이 이뻐,0,,UgwK3pNgptH98K1P6Z14AaABAg
뉴스,@-pigeontype9558,2023-07-22 11:17:53,디즈니 손에 들어가서는 안 되는데....,0,,UgwKG2c_h4ddvBGt7M54AaABAg
뉴스,@TV-to5lr,2023-07-22 11:17:56,영화관로비에서 엄청많이 들었네요,0,,UgwKXBsBAu2uhBzxE9p4AaABAg
뉴스,@user-fd9lo8bw2x,2023-07-22 11:18:05,중국: 중국꼬야!!!!!빼액,0,,UgwKeXOokuVdNUrgmYp4AaABAg
뉴스,@user-gk4hz6qp3w,2023-07-22 11:17:51,너무예쁘다,0,,UgwKgENjhZugTHeNoUF4AaABAg
뉴스,@wild.cat.,,사람을 의식의 재물로 ........,8,5,UgwKiWwPcxYnaaG5EIF4AaABAg
뉴스,@문카,2023-07-22 11:18:15,"미녀와 야수,신데렐라,백설공주 등등 여자를 희생한다는

디즈니 만화인뎁쇼...",10,,UgwKiWwPcxYnaaG5EIF4AaABAg.9gkvXBbBQqj9gkxh8KTP2n
뉴스,@tomato6348,2023-07-22 11:18:15,"인신공양은 전세계에 다 있음

로마인, 이집트인, 겔트족, 게르만족, 슬라브족,발트족, 동아시아,아프리카,사하라,잉카제국, 마야문명, 아즈텍, 중국, 일본, 한국( 순장 같은 개념 )
유대교 기독교도 존재함, 불교의 분신자살도 같은 개념.... 인신공양 안하던 나라가 없어요.",5,,UgwKiWwPcxYnaaG5EIF4AaABAg.9gkvXBbBQqj9gkyRWQtB32
뉴스,@user-qz4vh2tw4e,2023-07-22 11:18:15,뭐가 또 이렇게 불편한게 많어..,1,,UgwKiWwPcxYnaaG5EIF4AaABAg.9gkvXBbBQqj9gl19Khez_G
뉴스,@evol2905,2023-07-22 11:18:15,줄리아 류의 심청전은 각색되어 인신공양 내용은 없어졌음 대신 바다를 탐험하는 내용으로 바뀜,0,,UgwKiWwPcxYnaaG5EIF4AaABAg.9gkvXBbBQqj9gl2BpozdJB
뉴스,@FFFFFF58227,2023-07-22 11:18:15," @문카  미녀와 야수,백설공주,신데렐라가 여자를 희생? 뭐 미녀와 야수는 여자가 야수에게 희생해서 세상을 구하는 이런내용이고, 신데렐라는 집에 없는 아버지와 새엄마에 의해 힘든삶을 사는 그게 희생임? ㅋㅋ",0,,UgwKiWwPcxYnaaG5EIF4AaABAg.9gkvXBbBQqj9gl2QXTCmTC
뉴스,@user-us1fi2xf4g,2023-07-22 11:18:06,"평강공주는 왜 공주 취급 안해주냐고 ㅜㅜ
단양군 온달산성 가보라고 풍광이 예술이라고
간김에 단양 온천 구인사도 보고 고수동굴도
가서 감자전 막국수도 묵고 영월 다슬기해장국도
묵고 아 그 식당들 아직 있으려나...",7,,UgwKqaVUPrCKtAkRcld4AaABAg
뉴스,@user-bb7zl9gy8g,2023-07-22 11:17:57,현시대에 저런 Han女가 없으니 신기해서 많이 볼듯,1,2,UgwL9jpghF1Gr0JPFBB4AaABAg
뉴스,@orinalda6533,2023-07-22 11:17:58,Han女 굳이?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그냥 k-女로 가자 글로벌하자나 생각이 짧네,2,,UgwL9jpghF1Gr0JPFBB4AaABAg.9gm_KrkqH0z9gmbQ9nz6IE
뉴스,@user-rs9dt3bg6k,2023-07-22 11:17:58,그냥 한녀라해,0,,UgwL9jpghF1Gr0JPFBB4AaABAg.9gm_KrkqH0z9gn-HGkoJ9-
뉴스,@okayhhhhbyv,2023-07-22 11:17:56,개쩔긴하더라,0,,UgwLJBxL7pgwHX6CuD14AaABAg
뉴스,@SayTakeOnMe,2023-07-22 11:17:53,???:심청이를 흑인으로 바꾸겠습니다,0,,UgwLKgDFDL_MrgwP5wt4AaABAg
뉴스,@user-gf8nw5we5r,2023-07-22 11:17:50,나랏님들은 개판 정치싸움으로 국가 이미지 먹칠할 때 국위선양과 한복홍보등은 개인이 하고 있네,0,,UgwLkxaxt33LfOsoaF54AaABAg
뉴스,@user-vm4hn7il4c,2023-07-22 11:17:52,색감이 너무 이쁘다,0,,UgwLyGQJuFp_tOAXbGt4AaABAg
뉴스,@user-dc1wu9fw5u,2023-07-22 11:17:53,바리공주 기원해봅니다,0,,UgwLz5435lfayH7n1mx4AaABAg
뉴스,@wtgs470,2023-07-22 11:17:51,"뭐여??? 조선시대 엘사 여??? 
오라버님~~아니옵니다~~ 그대 이름은 무엇입니까~~~~~",0,,UgwMVSxi96-iNygBNr94AaABAg
뉴스,@hyeon8046,2023-07-22 11:17:59,근데 꼭 하버드생이란걸 제목이랑 뉴스 기사에 넣어야 하나? 진짜 학벌지상주의 한국이라는 티를 내네....그냥 한인이 재탄생 시킨이라고 하면 되지....참....,0,,UgwMZDn3Bf6Pokt4-1B4AaABAg
뉴스,@jition,2023-07-22 11:17:53,너무 캐릭터디자인이 디즈니 따라한 게 보여서 별로던데,2,,UgwN3zrSbGjBSntjfQd4AaABAg
